,603110.SH,002650.SZ,600109.SH,603599.SH
2014-09-26,,11.71,,
2014-09-29,,12.35,,
2014-09-30,,12.3,23.36,
2014-10-08,,12.79,23.75,
2014-10-09,,12.93,23.65,
2014-10-10,,12.6,24.03,
2014-10-13,,12.37,24.74,
2014-10-14,,12.63,24.36,
2014-10-15,,12.5,25.29,
2014-10-16,,12.18,24.65,
2014-10-17,,12.03,25.07,
2014-10-20,,12.48,24.76,
2014-10-21,,12.15,24.1,
2014-10-22,,11.86,24.25,
2014-10-23,,12.1,24.01,
2014-10-24,,12.01,12.11,
2014-10-27,,12.6,11.44,
2014-10-28,,13.1,11.92,
2014-10-29,,13.13,12.29,
2014-10-30,,12.93,12.25,
2014-10-31,,12.65,12.76,
2014-11-03,,13.91,12.83,
2014-11-04,,13.92,12.85,
2014-11-05,,13.92,13.16,
2014-11-06,,14.0,13.05,
2014-11-07,,13.6,13.52,
2014-11-10,,13.53,14.38,
2014-11-11,,13.3,14.44,
2014-11-12,,13.65,14.94,
2014-11-13,,13.45,14.89,
2014-11-14,,13.2,14.39,
2014-11-17,,13.66,14.23,
2014-11-18,,13.52,13.98,
2014-11-19,,13.78,14.0,
2014-11-20,,13.84,14.33,
2014-11-21,,14.06,15.19,
2014-11-24,,13.57,16.09,
2014-11-25,,13.88,15.89,
2014-11-26,,13.67,16.78,
2014-11-27,,13.41,17.47,
2014-11-28,,13.43,17.07,
2014-12-01,,13.1,16.89,
2014-12-02,,13.25,18.3,
2014-12-03,,13.12,18.31,
2014-12-04,,13.12,20.14,
2014-12-05,,13.38,22.14,
2014-12-08,,13.81,23.6,
2014-12-09,,13.05,21.27,
2014-12-10,,13.18,20.57,
2014-12-11,,13.01,18.82,
2014-12-12,,13.55,19.18,
2014-12-15,,13.39,19.58,
2014-12-16,,13.06,21.54,
2014-12-17,,12.75,21.79,
2014-12-18,,12.69,19.9,
2014-12-19,,12.81,19.58,
2014-12-22,,12.62,19.8,
2014-12-23,,12.11,19.52,
2014-12-24,,12.25,18.28,
2014-12-25,,12.27,18.84,
2014-12-26,,12.09,20.54,
2014-12-29,,12.46,19.68,
2014-12-30,,12.07,19.61,
2014-12-31,,11.83,19.79,
2015-01-05,,11.25,19.45,
2015-01-06,,11.45,19.05,
2015-01-07,,11.49,19.45,
2015-01-08,,11.79,18.8,
2015-01-09,,11.82,18.68,
2015-01-12,,11.61,18.62,
2015-01-13,,11.73,18.83,
2015-01-14,,11.35,18.78,
2015-01-15,,11.67,19.19,
2015-01-16,,11.81,18.97,
2015-01-19,,11.55,17.07,
2015-01-20,,11.87,16.06,
2015-01-21,,12.14,17.1,
2015-01-22,,12.22,17.13,
2015-01-23,,,17.37,
2015-01-26,,,17.23,
2015-01-27,,,17.05,
2015-01-28,,,17.15,
2015-01-29,,,16.62,
2015-01-30,,,16.56,
2015-02-02,,,16.19,
2015-02-03,,,16.72,
2015-02-04,,,16.6,
2015-02-05,,,16.67,
2015-02-06,,,16.73,
2015-02-09,,,17.43,
2015-02-10,,,17.5,
2015-02-11,,,17.54,
2015-02-12,,,17.4,
2015-02-13,,,17.41,
2015-02-16,,,17.39,
2015-02-17,,,17.59,
2015-02-25,,,17.99,
2015-02-26,,,19.79,
2015-02-27,,,21.0,
2015-03-02,,,21.02,
2015-03-03,,,21.13,
2015-03-04,,,20.61,
2015-03-05,,,21.8,
2015-03-06,,,20.93,
2015-03-09,,,20.16,
2015-03-10,,,21.08,
2015-03-11,,,22.66,
2015-03-12,,,22.91,
2015-03-13,,,22.68,
2015-03-16,,,23.15,
2015-03-17,,,23.47,
2015-03-18,,,23.32,
2015-03-19,,,24.41,
2015-03-20,,13.44,25.79,
2015-03-23,,14.36,27.05,
2015-03-24,,14.84,26.35,
2015-03-25,,14.58,25.82,
2015-03-26,,14.59,25.6,
2015-03-27,,14.7,25.65,
2015-03-30,,14.64,26.12,
2015-03-31,,14.8,25.54,
2015-04-01,,15.59,25.72,
2015-04-02,,15.9,25.2,
2015-04-03,,15.77,25.5,
2015-04-07,,16.25,25.99,
2015-04-08,,15.8,27.16,
2015-04-09,,15.03,26.61,
2015-04-10,,15.15,26.36,
2015-04-13,,15.78,27.34,
2015-04-14,,15.71,27.97,
2015-04-15,,14.93,26.17,
2015-04-16,,15.33,26.14,
2015-04-17,,15.03,26.07,
2015-04-20,,14.88,24.63,
2015-04-21,,15.4,25.59,
2015-04-22,,15.85,26.9,
2015-04-23,,15.93,26.22,
2015-04-24,,16.55,25.31,
2015-04-27,,16.88,25.48,
2015-04-28,,16.15,24.88,
2015-04-29,,16.53,24.99,
2015-04-30,,16.21,24.9,
2015-05-04,,16.23,24.54,
2015-05-05,,15.87,24.01,
2015-05-06,,15.22,24.99,
2015-05-07,,14.64,25.08,
2015-05-08,,15.2,25.32,
2015-05-11,,16.39,25.99,
2015-05-12,,16.32,28.11,
2015-05-13,,17.0,27.61,23.2
2015-05-14,,17.17,28.43,25.52
2015-05-15,,17.37,27.79,28.07
2015-05-18,,17.13,26.7,30.88
2015-05-19,,17.03,28.37,33.97
2015-05-20,,17.24,27.8,37.37
2015-05-21,,18.3,28.2,41.11
2015-05-22,,18.93,29.9,45.22
2015-05-25,,,30.41,49.74
2015-05-26,,,30.67,54.71
2015-05-27,,,30.24,60.18
2015-05-28,,18.63,27.35,66.2
2015-05-29,,19.91,26.8,72.82
2015-06-01,,21.48,28.25,80.1
2015-06-02,,21.54,28.25,88.11
2015-06-03,,22.26,29.68,96.92
2015-06-04,,21.6,32.41,87.23
2015-06-05,,21.22,31.7,78.51
2015-06-08,,21.92,33.23,70.66
2015-06-09,,22.34,31.95,66.87
2015-06-10,,22.68,31.55,68.94
2015-06-11,,24.19,31.83,75.83
2015-06-12,,24.09,31.51,70.52
2015-06-15,,23.92,,63.47
2015-06-16,,22.38,,57.96
2015-06-17,,23.44,,61.3
2015-06-18,,22.45,,55.17
2015-06-19,,20.21,,51.76
2015-06-23,,19.48,,54.38
2015-06-24,,19.69,,53.71
2015-06-25,,18.4,28.36,50.21
2015-06-26,,16.56,25.52,45.19
2015-06-29,,15.7,22.97,40.67
2015-06-30,,17.27,24.4,43.46
2015-07-01,,17.19,21.96,40.09
2015-07-02,,16.2,19.76,38.96
2015-07-03,,14.7,17.79,37.49
2015-07-06,,13.66,18.42,39.2
2015-07-07,,,16.58,35.28
2015-07-08,,,,31.75
2015-07-09,,,,34.93
2015-07-10,,,,38.42
2015-07-13,,,18.24,42.26
2015-07-14,,,19.17,43.69
2015-07-15,,,17.41,39.32
2015-07-16,,,17.52,38.67
2015-07-17,,,19.0,41.06
2015-07-20,,,19.11,41.29
2015-07-21,,,20.37,43.31
2015-07-22,,,19.92,42.9
2015-07-23,,,20.34,47.19
2015-07-24,,,19.39,45.53
2015-07-27,,,17.45,40.98
2015-07-28,,,17.69,38.36
2015-07-29,,15.03,17.88,41.88
2015-07-30,,16.53,16.86,41.54
2015-07-31,,16.2,16.67,44.23
2015-08-03,,14.67,16.2,48.65
2015-08-04,,16.14,17.0,47.4
2015-08-05,,17.04,16.68,49.75
2015-08-06,,16.57,16.21,46.31
2015-08-07,,17.4,16.56,47.07
2015-08-10,,18.23,17.8,48.77
2015-08-11,,18.05,17.57,48.85
2015-08-12,,17.3,17.43,45.88
2015-08-13,,18.0,17.68,46.23
2015-08-14,,18.15,18.04,46.94
2015-08-17,,18.45,18.36,45.54
2015-08-18,,17.29,18.07,40.99
2015-08-19,,18.16,18.05,41.32
2015-08-20,,17.9,16.86,39.25
2015-08-21,,16.94,15.51,36.3
2015-08-24,,15.25,13.96,32.67
2015-08-25,,13.73,12.56,29.4
2015-08-26,,13.7,11.3,29.95
2015-08-27,,14.54,11.93,31.29
2015-08-28,,15.61,12.76,33.48
2015-08-31,,14.55,12.63,31.04
2015-09-01,,13.3,12.76,27.94
2015-09-02,,12.8,12.09,27.43
2015-09-07,,13.58,12.09,28.41
2015-09-08,,14.38,12.7,30.73
2015-09-09,,14.82,13.25,31.81
2015-09-10,,14.85,12.76,30.36
2015-09-11,,14.86,12.66,30.87
2015-09-14,,13.37,12.2,27.78
2015-09-15,,12.56,11.33,26.3
2015-09-16,,13.82,12.25,28.93
2015-09-17,,13.98,11.83,28.44
2015-09-18,,14.38,11.89,28.8
2015-09-21,,15.14,12.17,30.59
2015-09-22,,14.85,12.68,30.25
2015-09-23,,15.1,12.18,29.88
2015-09-24,,5.88,12.33,30.55
2015-09-25,,5.56,11.9,28.89
2015-09-28,,5.73,12.15,29.94
2015-09-29,,5.52,11.97,29.14
2015-09-30,,5.55,12.1,29.52
2015-10-08,,5.75,12.44,30.94
2015-10-09,,5.83,12.73,31.24
2015-10-12,,6.17,13.81,33.39
2015-10-13,,6.3,13.91,33.52
2015-10-14,,6.1,13.65,32.78
2015-10-15,,6.24,14.18,34.22
2015-10-16,,6.17,14.47,34.56
2015-10-19,,6.64,15.02,33.89
2015-10-20,,6.57,15.33,34.52
2015-10-21,,6.33,14.74,32.38
2015-10-22,,6.67,15.02,33.58
2015-10-23,,6.69,15.17,34.81
2015-10-26,,6.64,15.45,35.87
2015-10-27,,6.49,15.1,36.63
2015-10-28,,6.3,14.63,35.79
2015-10-29,,6.32,14.63,36.24
2015-10-30,,6.26,14.91,35.95
2015-11-02,,6.17,14.32,37.18
2015-11-03,,6.34,14.44,39.77
2015-11-04,,6.61,15.88,41.41
2015-11-05,,6.58,16.94,41.13
2015-11-06,,6.7,18.16,44.48
2015-11-09,,6.93,17.5,45.4
2015-11-10,,7.04,17.62,44.73
2015-11-11,,7.05,17.85,48.32
2015-11-12,,6.97,17.49,51.85
2015-11-13,,6.8,17.66,46.7
2015-11-16,,7.17,18.29,47.17
2015-11-17,,7.17,18.02,46.05
2015-11-18,,7.28,16.99,43.92
2015-11-19,,7.41,17.44,46.16
2015-11-20,,7.82,17.19,48.3
2015-11-23,,7.54,17.02,48.28
2015-11-24,,7.43,17.31,53.11
2015-11-25,,7.49,17.57,54.17
2015-11-26,,7.51,17.22,55.55
2015-11-27,,6.96,15.5,54.38
2015-11-30,,7.0,15.39,59.82
2015-12-01,,6.96,15.2,56.72
2015-12-02,,6.91,15.95,53.89
2015-12-03,,7.4,15.93,56.77
2015-12-04,,7.37,15.5,58.1
2015-12-07,,7.32,15.4,56.16
2015-12-08,,7.34,15.05,55.72
2015-12-09,,7.25,15.08,53.88
2015-12-10,,7.1,15.19,53.3
2015-12-11,,7.02,15.28,53.35
2015-12-14,,7.11,16.45,55.05
2015-12-15,,7.33,15.96,55.76
2015-12-16,,7.78,16.07,56.89
2015-12-17,,7.85,16.36,58.45
2015-12-18,,7.9,16.32,55.88
2015-12-21,,8.13,16.6,55.22
2015-12-22,,7.9,16.81,55.8
2015-12-23,,7.74,16.88,54.48
2015-12-24,,7.8,16.43,55.74
2015-12-25,,7.9,16.46,55.6
2015-12-28,,7.87,15.94,52.72
2015-12-29,,7.95,16.21,52.97
2015-12-30,,8.1,16.2,52.35
2015-12-31,,8.12,16.12,49.74
2016-01-04,,7.32,14.53,44.77
